frage,antwort
"Was versteht man unter einem Projekt?","Ein Projekt ist ein zeitlich begrenztes Einzelvorhaben mit einem definierbaren Anfang und Ende, das sich durch die Einzigartigkeit der Bedingungen auszeichnet."
"Als Projekt wird jedes ... mit einem definierbaren Anfang und Ende bezeichnet","Einzelvorhaben"
"Welche typischen Begrenzungen gibt es bei einem Projekt?","Typische Begrenzungen bei Projekten sind Budget, Zeit und Ressourcen."
"Was zeichnet Projekte im Vergleich zu Routineaufgaben aus?","Im Gegensatz zu routinemäßigen Aufgaben zeichnen sich Projekte durch Unwägbarkeiten und Einmaligkeit der Bedingungen aus."
"Was versteht man unter dem primären Projektziel?","Das übergeordnete Ziel, das der Sinn und Zweck des Projekts ist."
"Was versteht man unter den sekundären Projektzielen?","Untergeordnete Teilziele, die das Erreichen des Primärziels unterstützen."
"Warum sind Projektziele wichtig?","Ohne Ziel fehlt die Ausrichtung, ohne untergeordnete Ziele die Messbarkeit des Projekterfolgs."
"Was ist Projektmanagement?","Die Analyse, Planung, Durchführung und Bewertung von Projekten."
"Warum brauchen wir Projektmanagement?","Projektmanagement sichert den Projekterfolg innerhalb von Zeit, Kosten und Qualität."
"Wie sollten Ziele am besten definiert werden?","Durch die SMART-Methode"
"Für was steht das ""S"" in SMART bei der Formulierung von Zielen?","S - Spezifisch (konkret und detailliert formuliert)"
"Für was steht das ""M"" in SMART bei der Formulierung von Zielen?","M - Messbar (anhand von Indikatoren überprüfbar)"
"Für was steht das ""A"" in SMART bei der Formulierung von Zielen?","A - Attraktiv (motivierend und anspruchsvoll)"
"Für was steht das ""R"" in SMART bei der Formulierung von Zielen?","R - Realistisch (machbar und angemessen)"
"Für was steht das ""T"" in SMART bei der Formulierung von Zielen?","T - Terminiert (mit klarem Zeitrahmen)"
"Was passiert in der Initialisierungsphase / im Projektstart?","Die Initiierungsphase ist die erste Phase eines Projekts, in der das Projekt offiziell gestartet wird. Hier werden die Projektziele, der Umfang und der Zweck definiert."
"Welche Inhalte hat die Planungsphase?","Die Planungsphase ist die Phase, in der der Projektplan erstellt wird, einschließlich Zeitplan, Budget, Ressourcen und Risikomanagement."
"Was ist die Ausführungsphase in einem Projekt?","Die Ausführungsphase ist die Phase, in der die eigentliche Arbeit am Projekt durchgeführt wird, um die geplanten Ziele zu erreichen."
"Was ist die Überwachungs- und Kontrollphase in einem Projekt?","Die Überwachungs- und Kontrollphase beinhaltet das kontinuierliche Überwachen und Messen des Projektfortschritts, um sicherzustellen, dass alles nach Plan verläuft."
"Welche Schritte gehören zum Projektabschluss?","Abnahme, Projektanalyse und -bewertung."
"Nenne zwei wichtige Instrumente für die Projektplanung","Lastenheft und Pflichtenheft"
"Was ist ein Lastenheft?","Ein Lastenheft beschreibt die Anforderungen des Auftraggebers an ein Projekt. Es definiert die Ziele, notwendigen Ergebnisse und Rahmenbedingungen."
